,Full Username,Date of Tweet,Number of Replies,Total Engagements,cleaned tweet,sentiment text,sentiment_prob,tags,outlier_merged,merged_label,merged_description
83,@Temioflasgidi,2025-03-12,0,0.0,Mr Governor kindly please keep quiet Meshonu abeg abeg How is Lagos growing With full blown Agbero everywhere Brt transportation is acutely bad Lagosian spends long hours in hold-up both going and coming back from work across all LCDA Lagos deserve better Do better,negative,0.768142164,"LEGAL, SUGGESTION",1,"Urban Decay, Sanitation Crisis & Symbolic Politics of BRT","This topic captures intense public debate about Lagos “smelling,” environmental degradation around BRT terminals, and sanitation failures. BRT appears as a symbolic site where governance, urban neglect, migration, and identity politics collide. Discussions often escalate into partisan attacks, ethnic blame, and moral judgments, showing how transport infrastructure becomes a proxy for wider urban governance failures."
84,@melove4,2025-03-14,0,0.0,"I entered BRT for the first time in Lagos today, it seems like metro buses in Dubai but the Card collection for BRT seems different. followlasg can adopt the system cards collection as it is operated in Dubai for their Metro NOI cards. Kudos to the Lagos state Government.",positive,0.668752849,SUGGESTION,6,"Market Decongestion, Enforcement & Land Disputes","This topic details official efforts to clear illegal traders from BRT stations and public spaces, focusing on environmental enforcement, task force operations, and associated arrests. It also touches on land disputes and protests against government actions related to BRT infrastructure."
85,@toluogunlesi,2025-03-13,0,0.0,"UPDATE: Nigeria getting a second BRT system, 17 years after Lagos State launched the first in Nigeria���������and ",neutral,0.499811471,NEWS,4,"Political Legacy, Infrastructure Achievement & Elite Narratives","This topic frames BRT as a political and infrastructural achievement, often linked to historical figures like Tinubu and Fashola. It highlights discussions about urban development projects, economic modeling, and governance capacity, frequently used in political discourse to showcase success or draw comparisons with other regions."
86,@FranceInNigeria,2025-03-13,0,15.0,"On March 11, GovKaduna & the French Ambassador to Nigeria MFonbaustier attended the unveiling of the Kaduna Bus Rapid Transit ( KBRT) project by KADSTRA & AFD_France. With 110M in AFD funding, Kaduna is set to become Nigeria's 2nd city with a BRT.",neutral,0.752494335,NEWS,4,"Political Legacy, Infrastructure Achievement & Elite Narratives","This topic frames BRT as a political and infrastructural achievement, often linked to historical figures like Tinubu and Fashola. It highlights discussions about urban development projects, economic modeling, and governance capacity, frequently used in political discourse to showcase success or draw comparisons with other regions."
87,@Temioflasgidi,2025-03-12,0,0.0,Mr Governor kindly please keep quiet Meshonu abeg abeg How is Lagos growing With full blown Agbero everywhere Brt transportation is acutely bad Lagosian spends long hours in hold-up both going and coming back from work across all LCDA Lagos deserve better Do better,negative,0.768142164,"LEGAL, SUGGESTION",1,"Urban Decay, Sanitation Crisis & Symbolic Politics of BRT","This topic captures intense public debate about Lagos “smelling,” environmental degradation around BRT terminals, and sanitation failures. BRT appears as a symbolic site where governance, urban neglect, migration, and identity politics collide. Discussions often escalate into partisan attacks, ethnic blame, and moral judgments, showing how transport infrastructure becomes a proxy for wider urban governance failures."
88,@TenovaTenChido,2025-03-15,0,0.0,I have two brt cards but switched purses and somehow none was on me. Got a new one and loaded it sufficiently. Now tell me how these people are saying I don't have sufficient money on it. These Lagos designed things stress me.,neutral,0.485764682,FARES,6,"Market Decongestion, Enforcement & Land Disputes","This topic details official efforts to clear illegal traders from BRT stations and public spaces, focusing on environmental enforcement, task force operations, and associated arrests. It also touches on land disputes and protests against government actions related to BRT infrastructure."
89,@001LASGOVT,2025-03-15,0,0.0,"Lagos Govt Forfeited 500M Monthly for Public Transport Fare Reduction The state government sustained a 25% fare reduction on BRT, Metro Rail, and water transport services, benefiting over 18 million commuters in 2024. The initiative was suspended in June 2024.",neutral,0.718750834,"LEGAL, NEWS",-1,Noise,Noise
90,@Classicfather21,2025-03-16,1,1.0,If Lagos State is smelling how will you have the chance to take your wedding photo shoot in the same smelling Lagos State BRT BUS Or how u take meet your wife in the same smelling BRT ,neutral,0.581528723,OTHERS,1,"Urban Decay, Sanitation Crisis & Symbolic Politics of BRT","This topic captures intense public debate about Lagos “smelling,” environmental degradation around BRT terminals, and sanitation failures. BRT appears as a symbolic site where governance, urban neglect, migration, and identity politics collide. Discussions often escalate into partisan attacks, ethnic blame, and moral judgments, showing how transport infrastructure becomes a proxy for wider urban governance failures."
91,@Ola_dotun00,2025-03-16,0,0.0,"Lagos is smelling fact!! Ends of ojuelegba bridge is stinking. Back of BRT station at Ikorodu/Ketu is smelling, Drive pass Mile 12 same thing Lagos is smelling asf ,the Government should do something about it. We need to call out LASG to declare a state of emergency or something",negative,0.876395941,HEALTH,1,"Urban Decay, Sanitation Crisis & Symbolic Politics of BRT","This topic captures intense public debate about Lagos “smelling,” environmental degradation around BRT terminals, and sanitation failures. BRT appears as a symbolic site where governance, urban neglect, migration, and identity politics collide. Discussions often escalate into partisan attacks, ethnic blame, and moral judgments, showing how transport infrastructure becomes a proxy for wider urban governance failures."
92,@snipewilly007,2025-03-16,0,0.0,"Lagos no dey smell ke, Go ikotun BRT terminus around 7am wallahi you would beg God to take your ability to smell Talmbout Lagos is not a smelly place ",negative,0.623736441,OTHERS,1,"Urban Decay, Sanitation Crisis & Symbolic Politics of BRT","This topic captures intense public debate about Lagos “smelling,” environmental degradation around BRT terminals, and sanitation failures. BRT appears as a symbolic site where governance, urban neglect, migration, and identity politics collide. Discussions often escalate into partisan attacks, ethnic blame, and moral judgments, showing how transport infrastructure becomes a proxy for wider urban governance failures."
93,@oluwalonipeter,2025-03-15,0,0.0,"Lagos already has the infrastructure with BRT lanes, just the specialised electric buses. They can just import the buses and use them on BRT lanes since they run on normal rubber tyres.",neutral,0.810364008,OTHERS,6,"Market Decongestion, Enforcement & Land Disputes","This topic details official efforts to clear illegal traders from BRT stations and public spaces, focusing on environmental enforcement, task force operations, and associated arrests. It also touches on land disputes and protests against government actions related to BRT infrastructure."
94,@TenovaTenChido,2025-03-15,0,0.0,I have two brt cards but switched purses and somehow none was on me. Got a new one and loaded it sufficiently. Now tell me how these people are saying I don't have sufficient money on it. These Lagos designed things stress me.,neutral,0.485764682,FARES,6,"Market Decongestion, Enforcement & Land Disputes","This topic details official efforts to clear illegal traders from BRT stations and public spaces, focusing on environmental enforcement, task force operations, and associated arrests. It also touches on land disputes and protests against government actions related to BRT infrastructure."
95,@ItsEniix,2025-03-17,2,6.0,You came to Lagos 4 NYSC only to leave D kind of life your mother in the village isn't living but U end up crying. Why do u need to go to a supermarket when you can actually get things cheaper in Mile 12?Why do U av to journey on Uber when U av danfo/BRT that you wil pay less.,negative,0.785492897,OTHERS,1,"Urban Decay, Sanitation Crisis & Symbolic Politics of BRT","This topic captures intense public debate about Lagos “smelling,” environmental degradation around BRT terminals, and sanitation failures. BRT appears as a symbolic site where governance, urban neglect, migration, and identity politics collide. Discussions often escalate into partisan attacks, ethnic blame, and moral judgments, showing how transport infrastructure becomes a proxy for wider urban governance failures."
96,@MzTaiwoo,2025-03-17,0,1.0,Why are we angry that someone said Lagos is smelling? Its not about politics. Lagos is really smelling. I need the govt to send people to jail and do PR with their names. Let the whole world know that people are doing 5 years because they chose to pee on the BRT bus &/or wall.,negative,0.879721582,LEGAL,1,"Urban Decay, Sanitation Crisis & Symbolic Politics of BRT","This topic captures intense public debate about Lagos “smelling,” environmental degradation around BRT terminals, and sanitation failures. BRT appears as a symbolic site where governance, urban neglect, migration, and identity politics collide. Discussions often escalate into partisan attacks, ethnic blame, and moral judgments, showing how transport infrastructure becomes a proxy for wider urban governance failures."
97,@saint12_Maro,2025-03-17,0,0.0,"Anytime South Africa cooks us, it's becus of how smelly and Open defecation going on in Lagos.under the bridge. the last time I travel to Lagos to island, I can see 3 men at once excreting openly, the moment you step down from the BRT bus at third mainland bridge, you will vomit",negative,0.821276903,HEALTH,1,"Urban Decay, Sanitation Crisis & Symbolic Politics of BRT","This topic captures intense public debate about Lagos “smelling,” environmental degradation around BRT terminals, and sanitation failures. BRT appears as a symbolic site where governance, urban neglect, migration, and identity politics collide. Discussions often escalate into partisan attacks, ethnic blame, and moral judgments, showing how transport infrastructure becomes a proxy for wider urban governance failures."
98,@Susinsight,2025-03-17,1,4.0," TodayInHistory: On March 17, 2008, Lagos launched West Africa's first Bus Rapid Transit (BRT) system. Designed to ease congestion, reduce emissions, and provide affordable transport, it introduced dedicated lanes and high-capacity buses. Though challenges remain, the BRT has transformed commuting in Lagos, proving that smart urban transport can drive real change. LagosBRT UrbanMobility PublicTransport SustainableTransport AfricanCities TransportInnovation UrbanDevelopment LagosTransport SmartCities GreenTransport Susinsight",positive,0.573102891,NEWS,4,"Political Legacy, Infrastructure Achievement & Elite Narratives","This topic frames BRT as a political and infrastructural achievement, often linked to historical figures like Tinubu and Fashola. It highlights discussions about urban development projects, economic modeling, and governance capacity, frequently used in political discourse to showcase success or draw comparisons with other regions."
99,@joejoeboy0,2025-03-17,0,1.0,lol that is to show you that she's not trying to talk down on lagos. She enjoyed the BRT and spoke about it. She spoke about the things she didn't enjoy. This county mehn,neutral,0.51356113,OTHERS,1,"Urban Decay, Sanitation Crisis & Symbolic Politics of BRT","This topic captures intense public debate about Lagos “smelling,” environmental degradation around BRT terminals, and sanitation failures. BRT appears as a symbolic site where governance, urban neglect, migration, and identity politics collide. Discussions often escalate into partisan attacks, ethnic blame, and moral judgments, showing how transport infrastructure becomes a proxy for wider urban governance failures."
100,@Riddwane,2025-03-17,0,0.0,"Don't fall for the cheap trick, the young lady is only trying to become an ���������overnight activist��������� by making more senseless videos that will draw more internet mobsters in her support. Same girl made the video below, marveling at BRT system in Lagos",negative,0.734917402,OTHERS,1,"Urban Decay, Sanitation Crisis & Symbolic Politics of BRT","This topic captures intense public debate about Lagos “smelling,” environmental degradation around BRT terminals, and sanitation failures. BRT appears as a symbolic site where governance, urban neglect, migration, and identity politics collide. Discussions often escalate into partisan attacks, ethnic blame, and moral judgments, showing how transport infrastructure becomes a proxy for wider urban governance failures."
101,@iamkennifizzle,2025-03-17,0,1.0,"Where she's coming from, they don't have basic transportation system. BRT that I have started using as a kid, she never use am before for her life. But it is Lagos govt that is not working enough. Them forbid them to hold their own govt responsible for basic amenities",negative,0.755032361,OTHERS,9,Fintech & Payment Systems (Cowry Card),"This topic highlights the integration of technology in BRT services, specifically the Cowry Card payment system. Discussions include its efficiency, ease of use, and occasional issues like card errors or insufficient balance, alongside mentions of fintech companies powering these systems."
102,@Gbolahanguitar2,2025-03-17,1,6.0,"The same girl who marveled at the BRT barely a year ago is suddenly calling out SanwoOlu for potholes in Lagos?? Sweetheart, you are mad. ",negative,0.850835204,OTHERS,1,"Urban Decay, Sanitation Crisis & Symbolic Politics of BRT","This topic captures intense public debate about Lagos “smelling,” environmental degradation around BRT terminals, and sanitation failures. BRT appears as a symbolic site where governance, urban neglect, migration, and identity politics collide. Discussions often escalate into partisan attacks, ethnic blame, and moral judgments, showing how transport infrastructure becomes a proxy for wider urban governance failures."
103,@DamiOladimeji,2025-03-17,0,3.0,"Lagos is bad, but you never enter BRT before. You enter lag dey do OS your eyes tear",negative,0.841727495,OTHERS,1,"Urban Decay, Sanitation Crisis & Symbolic Politics of BRT","This topic captures intense public debate about Lagos “smelling,” environmental degradation around BRT terminals, and sanitation failures. BRT appears as a symbolic site where governance, urban neglect, migration, and identity politics collide. Discussions often escalate into partisan attacks, ethnic blame, and moral judgments, showing how transport infrastructure becomes a proxy for wider urban governance failures."
104,@AdesojiCalebs,2025-03-17,1,1.0,Toor. Never seen a BRT bus in her Life. Got to Lagos and turned activist and advocate for good governance in one month. A d'eko dere. ,neutral,0.606988192,OTHERS,1,"Urban Decay, Sanitation Crisis & Symbolic Politics of BRT","This topic captures intense public debate about Lagos “smelling,” environmental degradation around BRT terminals, and sanitation failures. BRT appears as a symbolic site where governance, urban neglect, migration, and identity politics collide. Discussions often escalate into partisan attacks, ethnic blame, and moral judgments, showing how transport infrastructure becomes a proxy for wider urban governance failures."
105,@Riddwane,2025-03-17,0,0.0,"Don't fall for the cheap trick, the young lady is only trying to become an ���������overnight activist��������� by making more senseless videos that will draw more internet mobsters in her support. Same girl made the video below, marveling at BRT system in Lagos",negative,0.734917402,OTHERS,1,"Urban Decay, Sanitation Crisis & Symbolic Politics of BRT","This topic captures intense public debate about Lagos “smelling,” environmental degradation around BRT terminals, and sanitation failures. BRT appears as a symbolic site where governance, urban neglect, migration, and identity politics collide. Discussions often escalate into partisan attacks, ethnic blame, and moral judgments, showing how transport infrastructure becomes a proxy for wider urban governance failures."
106,@SaheedOlaSalami,2025-03-17,0,0.0,"Sowore's newest OS, the NYSC corps member said her State doesn't have BRT and had a nice experience using Lagos BRT.",positive,0.669451416,OTHERS,9,Fintech & Payment Systems (Cowry Card),"This topic highlights the integration of technology in BRT services, specifically the Cowry Card payment system. Discussions include its efficiency, ease of use, and occasional issues like card errors or insufficient balance, alongside mentions of fintech companies powering these systems."
107,@FAMEMAKER_,2025-03-17,0,0.0,Does BRT go through all routes in this city? Oga Lagos is smelling. Even inside the BRT is smelling,negative,0.717512548,OTHERS,1,"Urban Decay, Sanitation Crisis & Symbolic Politics of BRT","This topic captures intense public debate about Lagos “smelling,” environmental degradation around BRT terminals, and sanitation failures. BRT appears as a symbolic site where governance, urban neglect, migration, and identity politics collide. Discussions often escalate into partisan attacks, ethnic blame, and moral judgments, showing how transport infrastructure becomes a proxy for wider urban governance failures."
108,@ayomideooseni,2025-03-17,0,0.0,They all know what they are doing! It's all propaganda. How can a Lagos BRT be comfortable in a State where everywhere is smelling like shit!.According to her. Ol r bur k m l jati jati! ,negative,0.878757715,OTHERS,1,"Urban Decay, Sanitation Crisis & Symbolic Politics of BRT","This topic captures intense public debate about Lagos “smelling,” environmental degradation around BRT terminals, and sanitation failures. BRT appears as a symbolic site where governance, urban neglect, migration, and identity politics collide. Discussions often escalate into partisan attacks, ethnic blame, and moral judgments, showing how transport infrastructure becomes a proxy for wider urban governance failures."
109,@pontrol_777,2025-03-17,2,149.0,She did a vlog grinding bout how she just entered brt for the first time in her life in Lagos yet posted a video on TikTok asking what Sanwo Olu has done in Lagos but you want me to see it from a place of advocating for good governance not hypocrisy lol. Ode le pe wa,neutral,0.63752079,OTHERS,1,"Urban Decay, Sanitation Crisis & Symbolic Politics of BRT","This topic captures intense public debate about Lagos “smelling,” environmental degradation around BRT terminals, and sanitation failures. BRT appears as a symbolic site where governance, urban neglect, migration, and identity politics collide. Discussions often escalate into partisan attacks, ethnic blame, and moral judgments, showing how transport infrastructure becomes a proxy for wider urban governance failures."
110,@Ryuk_nutr3,2025-03-17,0,0.0,"I mean this girl came to Lagos for the first time, saw brt, rode on it, didn't call out her state government to do better, but in 6month already has the audacity to say ""Lagos is smelling"" Lagosians don suffer ",negative,0.807768881,OTHERS,1,"Urban Decay, Sanitation Crisis & Symbolic Politics of BRT","This topic captures intense public debate about Lagos “smelling,” environmental degradation around BRT terminals, and sanitation failures. BRT appears as a symbolic site where governance, urban neglect, migration, and identity politics collide. Discussions often escalate into partisan attacks, ethnic blame, and moral judgments, showing how transport infrastructure becomes a proxy for wider urban governance failures."
111,@Fagbohun_AB,2025-03-17,3,13.0,"Lagos is too densely populated. We have loads of homeless people,who will avoid public toilet to start defecating in Gutters, Parks and BRT station Still met one Eediot defecating inside BRT STATION as early as 6am We blame Government from time to time but our people ehnn",negative,0.864746988,OTHERS,1,"Urban Decay, Sanitation Crisis & Symbolic Politics of BRT","This topic captures intense public debate about Lagos “smelling,” environmental degradation around BRT terminals, and sanitation failures. BRT appears as a symbolic site where governance, urban neglect, migration, and identity politics collide. Discussions often escalate into partisan attacks, ethnic blame, and moral judgments, showing how transport infrastructure becomes a proxy for wider urban governance failures."
112,@Mz_Trosyn,2025-03-17,2,43.0,BRT is over 18 years in Lagos,neutral,0.80466938,LEGAL,5,Commuter Experience: Daily Challenges & Frustrations,"This topic captures the daily grind of BRT commuters: long queues, delays, discomfort, and the sheer mental and physical toll of Lagos public transport. It reflects a sentiment of struggle and resignation, with expressions of tiredness and frustration dominating the narrative."
113,@Heskey247,2025-03-17,1,1.0,"The werey say ""where I come from we don't have a BRT"" but they'll still come and talk nonsense. Their state is worse but Lagos state lo da ran.",negative,0.839214444,OTHERS,-1,Noise,Noise
114,@Riddwane,2025-03-17,0,0.0,"Don't fall for the cheap trick, the young lady is only trying to become an ���������overnight activist��������� by making more senseless videos that will draw more internet mobsters in her support. Same girl made the video below, marveling at BRT system in Lagos",negative,0.734917402,OTHERS,1,"Urban Decay, Sanitation Crisis & Symbolic Politics of BRT","This topic captures intense public debate about Lagos “smelling,” environmental degradation around BRT terminals, and sanitation failures. BRT appears as a symbolic site where governance, urban neglect, migration, and identity politics collide. Discussions often escalate into partisan attacks, ethnic blame, and moral judgments, showing how transport infrastructure becomes a proxy for wider urban governance failures."
115,@Ms_Yejide,2025-03-18,0,1.0,So because of BRT she should not say the obvious things? Even me born and bred in Lagos hold my nose half the time I am outside,negative,0.514707923,OTHERS,1,"Urban Decay, Sanitation Crisis & Symbolic Politics of BRT","This topic captures intense public debate about Lagos “smelling,” environmental degradation around BRT terminals, and sanitation failures. BRT appears as a symbolic site where governance, urban neglect, migration, and identity politics collide. Discussions often escalate into partisan attacks, ethnic blame, and moral judgments, showing how transport infrastructure becomes a proxy for wider urban governance failures."
116,@Riddwane,2025-03-17,0,0.0,"Don't fall for the cheap trick, the young lady is only trying to become an ""overnight activist"" by making more senseless videos that will draw more internet mobsters in her support. Same girl made the video below, marveling at BRT system in Lagos. She's confused, at best. x.com/dmightyangel/s.",negative,0.736818016,OTHERS,1,"Urban Decay, Sanitation Crisis & Symbolic Politics of BRT","This topic captures intense public debate about Lagos “smelling,” environmental degradation around BRT terminals, and sanitation failures. BRT appears as a symbolic site where governance, urban neglect, migration, and identity politics collide. Discussions often escalate into partisan attacks, ethnic blame, and moral judgments, showing how transport infrastructure becomes a proxy for wider urban governance failures."
117,@LionOlawale,2025-03-18,0,0.0,"I don't pray for my daughter to be going to night clubs half naked, and work her transfer to Lagos and enter a BRT bus for the first time and still be using a Gov for a cruise Mio nii Ashewo lomo I rejected it ",negative,0.759838521,OTHERS,-1,Noise,Noise
118,@ollypeezle,2025-03-18,316,9416.0,"Tokunbo Wahab is very dangerous. At a time we are saying Lagos is smelling, the commissioner for Environment brought out a video portraying a tribe as the perpetrator. At 53, he is chasing clouts like banger boys just the way he did with my BRT story. In his follow up tweet.",negative,0.893848777,LEGAL,1,"Urban Decay, Sanitation Crisis & Symbolic Politics of BRT","This topic captures intense public debate about Lagos “smelling,” environmental degradation around BRT terminals, and sanitation failures. BRT appears as a symbolic site where governance, urban neglect, migration, and identity politics collide. Discussions often escalate into partisan attacks, ethnic blame, and moral judgments, showing how transport infrastructure becomes a proxy for wider urban governance failures."
119,@lollypeezle,2025-03-18,316,9416.0,"Tokunbo Wahab is very dangerous. At a time we are saying Lagos is smelling, the commissioner for Environment brought out a video portraying a tribe as the perpetrator. At 53, he is chasing clouts like banger boys just the way he did with my BRT story. In his follow up tweet.",negative,0.893848777,LEGAL,1,"Urban Decay, Sanitation Crisis & Symbolic Politics of BRT","This topic captures intense public debate about Lagos “smelling,” environmental degradation around BRT terminals, and sanitation failures. BRT appears as a symbolic site where governance, urban neglect, migration, and identity politics collide. Discussions often escalate into partisan attacks, ethnic blame, and moral judgments, showing how transport infrastructure becomes a proxy for wider urban governance failures."
120,@gbajum0,2025-03-18,0,2.0,Random SE babe: Lagos is smelling Lola BRT: Yes lagos stinks to high heaven. Lagos Commissioner for Environment: Get to work to combat indiscriminate waste disposal. Lola BRT: Lagos Commissioner is targeting a tribe for the environmental pollution. Werey po l'Eko ,negative,0.858991444,"LEGAL, SUGGESTION",1,"Urban Decay, Sanitation Crisis & Symbolic Politics of BRT","This topic captures intense public debate about Lagos “smelling,” environmental degradation around BRT terminals, and sanitation failures. BRT appears as a symbolic site where governance, urban neglect, migration, and identity politics collide. Discussions often escalate into partisan attacks, ethnic blame, and moral judgments, showing how transport infrastructure becomes a proxy for wider urban governance failures."
121,@techyfera_,2025-03-20,1,1.0,dem no agree say lagos dey smell but everybody for BRT go dey cover nose when we pass Ebute Ero person dey mess everytime?,negative,0.559404969,OTHERS,1,"Urban Decay, Sanitation Crisis & Symbolic Politics of BRT","This topic captures intense public debate about Lagos “smelling,” environmental degradation around BRT terminals, and sanitation failures. BRT appears as a symbolic site where governance, urban neglect, migration, and identity politics collide. Discussions often escalate into partisan attacks, ethnic blame, and moral judgments, showing how transport infrastructure becomes a proxy for wider urban governance failures."
122,@abdullahayofel,2025-03-20,13,197.0,"Buhari truly no send anyone wey dey cause trouble. When terrorists burnt BRT buses in Lagos and caused other damages, Governor Sanwo-Olu ran to Buhari for help. Buhari told him to allow those who burnt the buses to walk. Nigerians prefer that kind of leader. You will even be begging Buhari to address the nation. Now una get person wey dey address and act to prevent anarchy, una still dey cry. Wetin una want for this country? ",negative,0.489046186,"LEGAL, SUGGESTION",10,"Corruption, Mismanagement & Public Trust Deficit","This topic reveals public distrust and allegations of corruption within LAMATA and other transport agencies. It includes accusations of fraudulent projects, lack of transparency in BRT operations, and calls for accountability, often framing these issues as systemic failures."
123,@LagosMOT1,2025-03-19,3,10.0,How effective do you think the BRT system in Lagos is? What improvements would you suggest? Vote and share your thoughts. LagosBRT lagosmot publicfeedback,neutral,0.805989265,SUGGESTION,11,Vehicle & Driver Behavior (Recklessness & Maintenance),"This topic focuses on the conduct of BRT drivers (e.g., over-speeding, recklessness), the condition of the buses (e.g., poor maintenance, lack of AC), and the safety implications. It also covers incidents involving BRT vehicles hitting pedestrians or other vehicles due to perceived negligence."
124,@AutoJoshNG,2025-03-21,0,0.0,Lagos BRT System Has Moved Over 530 Million Passengers Since Its Launch 17 Years Ago - eepurl.com/jAE0I2,neutral,0.80470401,NEWS,7,"Transportation Planning, Investment & Policy Debates","This cluster encompasses discussions about BRT system expansion, efficiency, new routes, and calls for policy changes or alternative transport modes. It often includes comparative analysis with other cities, debates on funding (e.g., CNG conversion), and the role of public-private partnerships."
125,@Onyeudo6,2025-03-20,1,1.0,"Buhari truly no send anyone wey dey cause trouble. When terrorists burnt BRT buses in Lagos and caused other damages, Governor Sanwo-Olu ran to Buhari for help. Buhari told him to allow those who burnt the buses to walk.",negative,0.660628259,LEGAL,10,"Corruption, Mismanagement & Public Trust Deficit","This topic reveals public distrust and allegations of corruption within LAMATA and other transport agencies. It includes accusations of fraudulent projects, lack of transparency in BRT operations, and calls for accountability, often framing these issues as systemic failures."
126,@MrGaniRel...,2025-03-22,34,545.0,A subtle reward for always throwing your tribe/people under the bus from those who are happy that you are doing their biddings. Who remembered the BRT bus issue that this sell out used to denigrate Lagos despite using it for his pre-wedding photoshoot? Sodiqi ,neutral,0.488295197,OTHERS,0,"BRT Lane Enforcement, Traffic Policy & Road Governance","This topic clusters official announcements, news reports, and citizen reactions concerning the enforcement or suspension of BRT lane restrictions—especially on Eko Bridge and Odo Iya-Alaro. It reflects tensions between traffic congestion management, road repairs, enforcement practices, and allegations of extortion by task forces and police. The discourse blends policy communication with everyday commuter frustrations."
127,@emmy_burns02,2025-03-24,0,0.0,Lagos state can't redesign their stadium na BRT terminal they're redesign wa na wa,negative,0.622438788,LEGAL,7,"Transportation Planning, Investment & Policy Debates","This cluster encompasses discussions about BRT system expansion, efficiency, new routes, and calls for policy changes or alternative transport modes. It often includes comparative analysis with other cities, debates on funding (e.g., CNG conversion), and the role of public-private partnerships."
128,@NigeriaStories,2025-03-24,0,0.0,BREAKING NEWS: Lagos State Government to redesign the Oshodi Transport Interchange,neutral,0.890134335,NEWS,7,"Transportation Planning, Investment & Policy Debates","This cluster encompasses discussions about BRT system expansion, efficiency, new routes, and calls for policy changes or alternative transport modes. It often includes comparative analysis with other cities, debates on funding (e.g., CNG conversion), and the role of public-private partnerships."
129,@EniolaRaji1990,2025-03-24,0,0.0,"Of course President Tinubu deserve it because he has past records and legacies as reference. Eko Atlantic city, Lekki Free Trade Zone housing Lekki Deep sea port/Dangote Refinery, BRT/train services in Lagos are his Legacies after 8yrs in Lagos. Tell me the legacy of your man.",positive,0.520073652,LEGAL,4,"Political Legacy, Infrastructure Achievement & Elite Narratives","This topic frames BRT as a political and infrastructural achievement, often linked to historical figures like Tinubu and Fashola. It highlights discussions about urban development projects, economic modeling, and governance capacity, frequently used in political discourse to showcase success or draw comparisons with other regions."
130,@GraceEmerechi,2025-03-24,0,0.0,Brt buses in Lagos is not something to use when one is in a hurry. You may be disappointed.,negative,0.829537868,OTHERS,6,"Market Decongestion, Enforcement & Land Disputes","This topic details official efforts to clear illegal traders from BRT stations and public spaces, focusing on environmental enforcement, task force operations, and associated arrests. It also touches on land disputes and protests against government actions related to BRT infrastructure."
131,@AutoJoshNG,2025-03-21,0,0.0,Lagos BRT System Has Moved Over 530 Million Passengers Since Its Launch 17 Years Ago - eepurl.com/jAE0I2,neutral,0.80470401,NEWS,7,"Transportation Planning, Investment & Policy Debates","This cluster encompasses discussions about BRT system expansion, efficiency, new routes, and calls for policy changes or alternative transport modes. It often includes comparative analysis with other cities, debates on funding (e.g., CNG conversion), and the role of public-private partnerships."
132,@Onyeudo6,2025-03-20,1,1.0,"Buhari truly no send anyone wey dey cause trouble. When terrorists burnt BRT buses in Lagos and caused other damages, Governor Sanwo-Olu ran to Buhari for help. Buhari told him to allow those who burnt the buses to walk.",negative,0.660628259,LEGAL,10,"Corruption, Mismanagement & Public Trust Deficit","This topic reveals public distrust and allegations of corruption within LAMATA and other transport agencies. It includes accusations of fraudulent projects, lack of transparency in BRT operations, and calls for accountability, often framing these issues as systemic failures."
133,@DukeOfManyTrade,2025-03-26,1,2.0,"Go and check many BRT and LAGRIDE in Lagos, even after huge amount of money spent on maintenance - Lagosians still damage those buses. How much more Danfo ??? At least, we cant deny their jidesanwoolu lagosstategov contrubution. What they need is strategic solution !",negative,0.798813343,OTHERS,-1,Noise,Noise
134,@akinthelaw,2025-03-26,2,16.0,This must be an attempt to farm engagement. There are BRT buses which are fit for this era. I don't know if you want the Lagos state government to buy new buses for all danfo drivers.,negative,0.490493596,SUGGESTION,9,Fintech & Payment Systems (Cowry Card),"This topic highlights the integration of technology in BRT services, specifically the Cowry Card payment system. Discussions include its efficiency, ease of use, and occasional issues like card errors or insufficient balance, alongside mentions of fintech companies powering these systems."
135,@GraceEmerechi,2025-03-27,0,1.0,"I've been running a lot of office errands and BRT buses has been so useful. Everyone who lives in Lagos should own a Brt card. Even if you have a car of your own,you may need it at some point.",positive,0.833557129,SUGGESTION,6,"Market Decongestion, Enforcement & Land Disputes","This topic details official efforts to clear illegal traders from BRT stations and public spaces, focusing on environmental enforcement, task force operations, and associated arrests. It also touches on land disputes and protests against government actions related to BRT infrastructure."
136,@TAIWOZEEEZ,2025-03-27,0,0.0,"Lagos State rolled out some mini BRT buses, but I wonder why they haven't dominated the state.",neutral,0.799245,OTHERS,6,"Market Decongestion, Enforcement & Land Disputes","This topic details official efforts to clear illegal traders from BRT stations and public spaces, focusing on environmental enforcement, task force operations, and associated arrests. It also touches on land disputes and protests against government actions related to BRT infrastructure."
137,@OlafimihanPhil2,2025-03-27,0,0.0,"Good job on the BRT, but these buses need proper maintenance. The bus bells are no longer functioning, so commuters are now shouting ""O wa!"" If you're not planning to fix the AC, at least fix the bells. Lamataonline followlasg jidesanwoolu Lagos AGreaterLagosRising LASG",negative,0.712667942,"VEHICLE, SUGGESTION",6,"Market Decongestion, Enforcement & Land Disputes","This topic details official efforts to clear illegal traders from BRT stations and public spaces, focusing on environmental enforcement, task force operations, and associated arrests. It also touches on land disputes and protests against government actions related to BRT infrastructure."
